antecedents,consequents,support,confidence,lift
Product 33,"Product 58, Product 78, Product 84",0.01,0.33333333333333337,33.333333333333336
"Product 58, Product 78, Product 87",Product 33,0.01,1.0,33.333333333333336
Product 28,"Product 43, Product 55",0.01,0.33333333333333337,33.333333333333336
Product 28,"Product 16, Product 55",0.01,0.33333333333333337,33.333333333333336
"Product 12, Product 35, Product 84",Product 33,0.01,1.0,33.333333333333336
"Product 12, Product 33, Product 35",Product 84,0.01,1.0,33.333333333333336
Product 84,"Product 33, Product 35, Product 7",0.01,0.33333333333333337,33.333333333333336
Product 7,"Product 33, Product 35, Product 84",0.01,0.33333333333333337,33.333333333333336
"Product 55, Product 62",Product 28,0.01,1.0,33.333333333333336
Product 28,"Product 55, Product 62",0.01,0.33333333333333337,33.333333333333336
"Product 4, Product 64",Product 54,0.01,1.0,33.333333333333336
Product 54,"Product 4, Product 64",0.01,0.33333333333333337,33.333333333333336
"Product 16, Product 55",Product 28,0.01,1.0,33.333333333333336
"Product 43, Product 55",Product 16,0.01,1.0,33.333333333333336
Product 16,"Product 43, Product 55",0.01,0.33333333333333337,33.333333333333336
"Product 43, Product 62",Product 16,0.01,1.0,33.333333333333336
Product 28,"Product 16, Product 43",0.01,0.33333333333333337,33.333333333333336
"Product 43, Product 62",Product 28,0.01,1.0,33.333333333333336
Product 7,"Product 12, Product 33, Product 35",0.01,0.33333333333333337,33.333333333333336
Product 33,"Product 12, Product 35, Product 7",0.01,0.33333333333333337,33.333333333333336
"Product 43, Product 71, Product 89",Product 51,0.01,1.0,33.333333333333336
Product 16,"Product 28, Product 43, Product 55",0.01,0.33333333333333337,33.333333333333336
"Product 25, Product 8",Product 61,0.01,1.0,33.333333333333336
Product 61,"Product 25, Product 8",0.01,0.33333333333333337,33.333333333333336
"Product 69, Product 8",Product 61,0.01,1.0,33.333333333333336
"Product 61, Product 8",Product 69,0.01,1.0,33.333333333333336
Product 69,"Product 61, Product 8",0.01,0.33333333333333337,33.333333333333336
Product 61,"Product 69, Product 8",0.01,0.33333333333333337,33.333333333333336
Product 69,"Product 25, Product 8",0.01,0.33333333333333337,33.333333333333336
"Product 74, Product 78",Product 24,0.01,1.0,33.333333333333336
Product 69,"Product 25, Product 61",0.01,0.33333333333333337,33.333333333333336
Product 61,"Product 25, Product 69",0.01,0.33333333333333337,33.333333333333336
"Product 86, Product 93",Product 24,0.01,1.0,33.333333333333336
Product 24,"Product 86, Product 93",0.01,0.33333333333333337,33.333333333333336
"Product 25, Product 69",Product 61,0.01,1.0,33.333333333333336
Product 33,"Product 35, Product 7, Product 84",0.01,0.33333333333333337,33.333333333333336
Product 51,"Product 43, Product 78",0.01,0.33333333333333337,33.333333333333336
"Product 58, Product 86",Product 24,0.01,1.0,33.333333333333336
Product 24,"Product 58, Product 86",0.01,0.33333333333333337,33.333333333333336
Product 61,"Product 25, Product 69, Product 8",0.01,0.33333333333333337,33.333333333333336
Product 94,"Product 42, Product 71",0.01,0.33333333333333337,33.333333333333336
"Product 15, Product 71",Product 94,0.01,1.0,33.333333333333336
"Product 38, Product 50",Product 92,0.01,1.0,33.333333333333336
"Product 42, Product 71",Product 94,0.01,1.0,33.333333333333336
"Product 58, Product 84, Product 87",Product 33,0.01,1.0,33.333333333333336
"Product 33, Product 58, Product 87",Product 84,0.01,1.0,33.333333333333336
"Product 55, Product 62",Product 16,0.01,1.0,33.333333333333336
Product 16,"Product 55, Product 62",0.01,0.33333333333333337,33.333333333333336
"Product 25, Product 61",Product 69,0.01,1.0,33.333333333333336
Product 51,"Product 43, Product 78, Product 89",0.01,0.33333333333333337,33.333333333333336
"Product 43, Product 71, Product 78",Product 51,0.01,1.0,33.333333333333336
Product 54,"Product 73, Product 78, Product 82",0.01,0.33333333333333337,33.333333333333336
Product 70,"Product 100, Product 6",0.01,0.33333333333333337,33.333333333333336
"Product 87, Product 91",Product 33,0.01,1.0,33.333333333333336
Product 76,"Product 14, Product 19, Product 93",0.01,0.33333333333333337,33.333333333333336
"Product 14, Product 79, Product 93",Product 76,0.01,1.0,33.333333333333336
Product 84,"Product 33, Product 78, Product 87",0.01,0.33333333333333337,33.333333333333336
Product 33,"Product 78, Product 84, Product 87",0.01,0.33333333333333337,33.333333333333336
"Product 58, Product 78, Product 87",Product 84,0.01,1.0,33.333333333333336
Product 70,"Product 7, Product 81, Product 88",0.01,0.33333333333333337,33.333333333333336
Product 7,"Product 70, Product 81, Product 88",0.01,0.33333333333333337,33.333333333333336
"Product 44, Product 86, Product 93",Product 24,0.01,1.0,33.333333333333336
Product 84,"Product 12, Product 33, Product 35",0.01,0.33333333333333337,33.333333333333336
Product 33,"Product 12, Product 35, Product 84",0.01,0.33333333333333337,33.333333333333336
"Product 14, Product 19, Product 93",Product 76,0.01,1.0,33.333333333333336
"Product 64, Product 82",Product 54,0.01,1.0,33.333333333333336
Product 33,"Product 58, Product 78, Product 87",0.01,0.33333333333333337,33.333333333333336
"Product 43, Product 78",Product 51,0.01,1.0,33.333333333333336
"Product 4, Product 82",Product 54,0.01,1.0,33.333333333333336
Product 54,"Product 4, Product 82",0.01,0.33333333333333337,33.333333333333336
Product 83,"Product 58, Product 59",0.01,0.33333333333333337,33.333333333333336
"Product 3, Product 58",Product 83,0.01,1.0,33.333333333333336
Product 83,"Product 3, Product 58",0.01,0.33333333333333337,33.333333333333336
"Product 3, Product 59",Product 83,0.01,1.0,33.333333333333336
Product 83,"Product 3, Product 59",0.01,0.33333333333333337,33.333333333333336
Product 7,"Product 27, Product 70, Product 88",0.01,0.33333333333333337,33.333333333333336
Product 18,"Product 31, Product 42",0.01,0.33333333333333337,33.333333333333336
"Product 42, Product 8",Product 38,0.01,1.0,33.333333333333336
Product 38,"Product 42, Product 8",0.01,0.33333333333333337,33.333333333333336
Product 94,"Product 15, Product 71",0.01,0.33333333333333337,33.333333333333336
"Product 15, Product 42",Product 94,0.01,1.0,33.333333333333336
Product 94,"Product 15, Product 42",0.01,0.33333333333333337,33.333333333333336
"Product 65, Product 87",Product 33,0.01,1.0,33.333333333333336
"Product 100, Product 6",Product 70,0.01,1.0,33.333333333333336
"Product 58, Product 59",Product 83,0.01,1.0,33.333333333333336
Product 13,"Product 60, Product 81",0.01,0.33333333333333337,33.333333333333336
"Product 44, Product 93",Product 24,0.01,1.0,33.333333333333336
Product 84,"Product 58, Product 78, Product 87",0.01,0.33333333333333337,33.333333333333336
Product 24,"Product 44, Product 86, Product 93",0.01,0.33333333333333337,33.333333333333336
"Product 44, Product 58, Product 86",Product 24,0.01,1.0,33.333333333333336
Product 16,"Product 46, Product 48, Product 62",0.01,0.33333333333333337,33.333333333333336
Product 28,"Product 1, Product 12, Product 65",0.01,0.33333333333333337,33.333333333333336
"Product 25, Product 69, Product 8",Product 61,0.01,1.0,33.333333333333336
"Product 25, Product 61, Product 8",Product 69,0.01,1.0,33.333333333333336
Product 69,"Product 25, Product 61, Product 8",0.01,0.33333333333333337,33.333333333333336
"Product 23, Product 8",Product 38,0.01,1.0,33.333333333333336
Product 38,"Product 23, Product 8",0.01,0.33333333333333337,33.333333333333336
"Product 23, Product 42",Product 38,0.01,1.0,33.333333333333336
Product 38,"Product 23, Product 42",0.01,0.33333333333333337,33.333333333333336
Product 54,"Product 64, Product 82",0.01,0.33333333333333337,33.333333333333336
Product 51,"Product 71, Product 89",0.01,0.33333333333333337,33.333333333333336
"Product 71, Product 89",Product 51,0.01,1.0,33.333333333333336
"Product 58, Product 93",Product 24,0.01,1.0,33.333333333333336
Product 70,"Product 27, Product 81, Product 88",0.01,0.33333333333333337,33.333333333333336
"Product 31, Product 90",Product 18,0.01,1.0,33.333333333333336
Product 76,"Product 14, Product 79, Product 93",0.01,0.33333333333333337,33.333333333333336
"Product 19, Product 79, Product 93",Product 76,0.01,1.0,33.333333333333336
Product 18,"Product 42, Product 62",0.01,0.33333333333333337,33.333333333333336
"Product 42, Product 90",Product 18,0.01,1.0,33.333333333333336
Product 76,"Product 14, Product 19, Product 79",0.01,0.33333333333333337,33.333333333333336
Product 46,"Product 48, Product 52, Product 62",0.01,0.33333333333333337,33.333333333333336
"Product 48, Product 52, Product 62",Product 16,0.01,1.0,33.333333333333336
"Product 16, Product 48, Product 62",Product 46,0.01,1.0,33.333333333333336
Product 33,"Product 87, Product 91",0.01,0.33333333333333337,33.333333333333336
"Product 73, Product 78, Product 82",Product 54,0.01,1.0,33.333333333333336
Product 24,"Product 58, Product 93",0.01,0.33333333333333337,33.333333333333336
"Product 16, Product 48, Product 52",Product 46,0.01,1.0,33.333333333333336
"Product 46, Product 48, Product 52",Product 16,0.01,1.0,33.333333333333336
"Product 19, Product 87",Product 92,0.01,1.0,33.333333333333336
Product 92,"Product 19, Product 87",0.01,0.33333333333333337,33.333333333333336
"Product 17, Product 72",Product 83,0.01,1.0,33.333333333333336
"Product 17, Product 83",Product 72,0.01,1.0,33.333333333333336
Product 33,"Product 65, Product 87",0.01,0.33333333333333337,33.333333333333336
"Product 56, Product 87",Product 33,0.01,1.0,33.333333333333336
Product 33,"Product 56, Product 87",0.01,0.33333333333333337,33.333333333333336
"Product 31, Product 62",Product 18,0.01,1.0,33.333333333333336
Product 18,"Product 31, Product 62",0.01,0.33333333333333337,33.333333333333336
"Product 31, Product 42",Product 18,0.01,1.0,33.333333333333336
"Product 44, Product 58",Product 24,0.01,1.0,33.333333333333336
Product 24,"Product 44, Product 58",0.01,0.33333333333333337,33.333333333333336
"Product 44, Product 86",Product 24,0.01,1.0,33.333333333333336
Product 24,"Product 44, Product 86",0.01,0.33333333333333337,33.333333333333336
Product 51,"Product 78, Product 89",0.01,0.33333333333333337,33.333333333333336
"Product 43, Product 71",Product 51,0.01,1.0,33.333333333333336
Product 54,"Product 78, Product 82",0.01,0.33333333333333337,33.333333333333336
Product 18,"Product 31, Product 39",0.01,0.33333333333333337,33.333333333333336
"Product 60, Product 81",Product 13,0.01,1.0,33.333333333333336
Product 13,"Product 4, Product 60",0.01,0.33333333333333337,33.333333333333336
"Product 69, Product 78, Product 96",Product 41,0.01,1.0,33.333333333333336
"Product 62, Product 79",Product 28,0.01,1.0,33.333333333333336
Product 28,"Product 62, Product 79",0.01,0.33333333333333337,33.333333333333336
"Product 68, Product 79",Product 28,0.01,1.0,33.333333333333336
Product 28,"Product 68, Product 79",0.01,0.33333333333333337,33.333333333333336
Product 18,"Product 31, Product 90",0.01,0.33333333333333337,33.333333333333336
"Product 42, Product 62",Product 18,0.01,1.0,33.333333333333336
Product 76,"Product 19, Product 79, Product 93",0.01,0.33333333333333337,33.333333333333336
"Product 14, Product 19, Product 79",Product 76,0.01,1.0,33.333333333333336
Product 16,"Product 48, Product 52, Product 62",0.01,0.33333333333333337,33.333333333333336
Product 28,"Product 49, Product 79",0.01,0.33333333333333337,33.333333333333336
"Product 62, Product 68",Product 28,0.01,1.0,33.333333333333336
Product 28,"Product 62, Product 68",0.01,0.33333333333333337,33.333333333333336
"Product 49, Product 68",Product 28,0.01,1.0,33.333333333333336
"Product 10, Product 56",Product 41,0.01,1.0,33.333333333333336
Product 41,"Product 10, Product 56",0.01,0.33333333333333337,33.333333333333336
Product 46,"Product 16, Product 48, Product 62",0.01,0.33333333333333337,33.333333333333336
"Product 48, Product 52, Product 62",Product 46,0.01,1.0,33.333333333333336
"Product 78, Product 84, Product 87",Product 33,0.01,1.0,33.333333333333336
"Product 33, Product 78, Product 87",Product 84,0.01,1.0,33.333333333333336
"Product 56, Product 91",Product 33,0.01,1.0,33.333333333333336
Product 33,"Product 56, Product 91",0.01,0.33333333333333337,33.333333333333336
Product 92,"Product 36, Product 87",0.01,0.33333333333333337,33.333333333333336
"Product 56, Product 65",Product 33,0.01,1.0,33.333333333333336
"Product 46, Product 48, Product 62",Product 16,0.01,1.0,33.333333333333336
Product 18,"Product 42, Product 90",0.01,0.33333333333333337,33.333333333333336
"Product 19, Product 36",Product 92,0.01,1.0,33.333333333333336
Product 24,"Product 44, Product 93",0.01,0.33333333333333337,33.333333333333336
Product 94,"Product 22, Product 40, Product 48",0.01,0.33333333333333337,33.333333333333336
"Product 100, Product 60",Product 13,0.01,1.0,33.333333333333336
Product 13,"Product 100, Product 60",0.01,0.33333333333333337,33.333333333333336
"Product 4, Product 64, Product 82",Product 54,0.01,1.0,33.333333333333336
"Product 3, Product 58, Product 59",Product 83,0.01,1.0,33.333333333333336
"Product 22, Product 40, Product 48",Product 94,0.01,1.0,33.333333333333336
"Product 31, Product 39",Product 18,0.01,1.0,33.333333333333336
"Product 4, Product 81",Product 13,0.01,1.0,33.333333333333336
Product 13,"Product 4, Product 81",0.01,0.33333333333333337,33.333333333333336
"Product 100, Product 81",Product 13,0.01,1.0,33.333333333333336
"Product 62, Product 90",Product 18,0.01,1.0,33.333333333333336
Product 18,"Product 62, Product 90",0.01,0.33333333333333337,33.333333333333336
"Product 17, Product 2, Product 42",Product 39,0.01,1.0,33.333333333333336
"Product 49, Product 79",Product 28,0.01,1.0,33.333333333333336
Product 54,"Product 4, Product 64, Product 82",0.01,0.33333333333333337,33.333333333333336
Product 13,"Product 100, Product 4",0.01,0.33333333333333337,33.333333333333336
Product 51,"Product 43, Product 71",0.01,0.33333333333333337,33.333333333333336
"Product 71, Product 78",Product 51,0.01,1.0,33.333333333333336
Product 51,"Product 71, Product 78",0.01,0.33333333333333337,33.333333333333336
Product 13,"Product 100, Product 81",0.01,0.33333333333333337,33.333333333333336
"Product 4, Product 60",Product 13,0.01,1.0,33.333333333333336
Product 46,"Product 36, Product 66",0.01,0.33333333333333337,33.333333333333336
"Product 56, Product 57",Product 18,0.01,1.0,33.333333333333336
Product 28,"Product 49, Product 68",0.01,0.33333333333333337,33.333333333333336
Product 39,"Product 17, Product 2, Product 42",0.01,0.33333333333333337,33.333333333333336
Product 16,"Product 46, Product 48, Product 52",0.01,0.33333333333333337,33.333333333333336
Product 46,"Product 16, Product 48, Product 52",0.01,0.33333333333333337,33.333333333333336
"Product 16, Product 52, Product 62",Product 46,0.01,1.0,33.333333333333336
"Product 46, Product 52, Product 62",Product 16,0.01,1.0,33.333333333333336
Product 33,"Product 56, Product 65",0.01,0.33333333333333337,33.333333333333336
"Product 78, Product 89",Product 51,0.01,1.0,33.333333333333336
"Product 43, Product 89",Product 51,0.01,1.0,33.333333333333336
Product 51,"Product 43, Product 89",0.01,0.33333333333333337,33.333333333333336
"Product 23, Product 42, Product 8",Product 38,0.01,1.0,33.333333333333336
Product 72,"Product 17, Product 83",0.01,0.33333333333333337,33.333333333333336
Product 83,"Product 17, Product 72",0.01,0.33333333333333337,33.333333333333336
"Product 11, Product 79",Product 39,0.01,1.0,33.333333333333336
Product 39,"Product 11, Product 79",0.01,0.33333333333333337,33.333333333333336
"Product 23, Product 79",Product 39,0.01,1.0,33.333333333333336
Product 39,"Product 23, Product 79",0.01,0.33333333333333337,33.333333333333336
Product 92,"Product 19, Product 36",0.01,0.33333333333333337,33.333333333333336
"Product 36, Product 87",Product 92,0.01,1.0,33.333333333333336
Product 18,"Product 31, Product 62, Product 90",0.01,0.33333333333333337,33.333333333333336
"Product 41, Product 78, Product 96",Product 69,0.01,1.0,33.333333333333336
Product 69,"Product 41, Product 78, Product 96",0.01,0.33333333333333337,33.333333333333336
Product 41,"Product 69, Product 78, Product 96",0.01,0.33333333333333337,33.333333333333336
Product 18,"Product 57, Product 71",0.01,0.33333333333333337,33.333333333333336
"Product 2, Product 8",Product 76,0.01,1.0,33.333333333333336
Product 76,"Product 2, Product 8",0.01,0.33333333333333337,33.333333333333336
"Product 2, Product 47",Product 76,0.01,1.0,33.333333333333336
Product 76,"Product 2, Product 47",0.01,0.33333333333333337,33.333333333333336
"Product 47, Product 8",Product 76,0.01,1.0,33.333333333333336
Product 76,"Product 47, Product 8",0.01,0.33333333333333337,33.333333333333336
"Product 100, Product 4",Product 13,0.01,1.0,33.333333333333336
"Product 36, Product 66",Product 46,0.01,1.0,33.333333333333336
Product 33,"Product 58, Product 78",0.01,0.33333333333333337,33.333333333333336
"Product 78, Product 87",Product 33,0.01,1.0,33.333333333333336
Product 33,"Product 78, Product 87",0.01,0.33333333333333337,33.333333333333336
"Product 78, Product 84",Product 33,0.01,1.0,33.333333333333336
"Product 33, Product 78",Product 84,0.01,1.0,33.333333333333336
Product 70,"Product 65, Product 98",0.01,0.33333333333333337,33.333333333333336
"Product 20, Product 65",Product 70,0.01,1.0,33.333333333333336
"Product 73, Product 82",Product 54,0.01,1.0,33.333333333333336
Product 54,"Product 73, Product 82",0.01,0.33333333333333337,33.333333333333336
"Product 73, Product 78",Product 54,0.01,1.0,33.333333333333336
"Product 22, Product 48",Product 94,0.01,1.0,33.333333333333336
Product 94,"Product 22, Product 48",0.01,0.33333333333333337,33.333333333333336
"Product 40, Product 48",Product 94,0.01,1.0,33.333333333333336
Product 54,"Product 73, Product 78",0.01,0.33333333333333337,33.333333333333336
"Product 78, Product 82",Product 54,0.01,1.0,33.333333333333336
"Product 20, Product 98",Product 70,0.01,1.0,33.333333333333336
Product 33,"Product 56, Product 65, Product 87, Product 91",0.01,0.33333333333333337,33.333333333333336
"Product 65, Product 98",Product 70,0.01,1.0,33.333333333333336
Product 70,"Product 20, Product 65",0.01,0.33333333333333337,33.333333333333336
Product 70,"Product 20, Product 98",0.01,0.33333333333333337,33.333333333333336
Product 38,"Product 23, Product 42, Product 8",0.01,0.33333333333333337,33.333333333333336
Product 18,"Product 56, Product 71",0.01,0.33333333333333337,33.333333333333336
"Product 57, Product 71",Product 18,0.01,1.0,33.333333333333336
"Product 56, Product 71",Product 18,0.01,1.0,33.333333333333336
Product 94,"Product 40, Product 48",0.01,0.33333333333333337,33.333333333333336
Product 69,"Product 41, Product 78",0.01,0.33333333333333337,33.333333333333336
Product 41,"Product 69, Product 78",0.01,0.33333333333333337,33.333333333333336
"Product 78, Product 96",Product 69,0.01,1.0,33.333333333333336
Product 69,"Product 78, Product 96",0.01,0.33333333333333337,33.333333333333336
"Product 22, Product 40",Product 94,0.01,1.0,33.333333333333336
Product 83,"Product 3, Product 58, Product 59",0.01,0.33333333333333337,33.333333333333336
"Product 100, Product 38, Product 50",Product 92,0.01,1.0,33.333333333333336
"Product 100, Product 50, Product 92",Product 38,0.01,1.0,33.333333333333336
Product 38,"Product 100, Product 50, Product 92, Product 97",0.01,0.33333333333333337,33.333333333333336
Product 92,"Product 100, Product 38, Product 50, Product 97",0.01,0.33333333333333337,33.333333333333336
"Product 56, Product 65, Product 87, Product 91",Product 33,0.01,1.0,33.333333333333336
"Product 100, Product 50, Product 92, Product 97",Product 38,0.01,1.0,33.333333333333336
Product 84,"Product 33, Product 78",0.01,0.33333333333333337,33.333333333333336
Product 7,"Product 35, Product 37, Product 96",0.01,0.33333333333333337,33.333333333333336
Product 84,"Product 58, Product 87",0.01,0.33333333333333337,33.333333333333336
"Product 58, Product 84",Product 33,0.01,1.0,33.333333333333336
"Product 33, Product 58",Product 84,0.01,1.0,33.333333333333336
Product 33,"Product 78, Product 84",0.01,0.33333333333333337,33.333333333333336
"Product 84, Product 87",Product 33,0.01,1.0,33.333333333333336
Product 33,"Product 84, Product 87",0.01,0.33333333333333337,33.333333333333336
"Product 58, Product 78",Product 33,0.01,1.0,33.333333333333336
Product 46,"Product 16, Product 48, Product 52, Product 62",0.01,0.33333333333333337,33.333333333333336
Product 16,"Product 46, Product 48, Product 52, Product 62",0.01,0.33333333333333337,33.333333333333336
"Product 100, Product 38, Product 50, Product 97",Product 92,0.01,1.0,33.333333333333336
"Product 46, Product 48, Product 52, Product 62",Product 16,0.01,1.0,33.333333333333336
"Product 16, Product 48, Product 52, Product 62",Product 46,0.01,1.0,33.333333333333336
Product 76,"Product 2, Product 47, Product 8",0.01,0.33333333333333337,33.333333333333336
"Product 56, Product 57, Product 71",Product 18,0.01,1.0,33.333333333333336
Product 18,"Product 56, Product 57, Product 71",0.01,0.33333333333333337,33.333333333333336
Product 18,"Product 56, Product 57",0.01,0.33333333333333337,33.333333333333336
Product 7,"Product 37, Product 64, Product 96",0.01,0.33333333333333337,33.333333333333336
Product 94,"Product 22, Product 40",0.01,0.33333333333333337,33.333333333333336
"Product 58, Product 86, Product 93",Product 24,0.01,1.0,33.333333333333336
Product 18,"Product 31, Product 42, Product 90",0.01,0.33333333333333337,33.333333333333336
"Product 31, Product 62, Product 90",Product 18,0.01,1.0,33.333333333333336
"Product 35, Product 37, Product 96",Product 7,0.01,1.0,33.333333333333336
Product 7,"Product 35, Product 64, Product 96",0.01,0.33333333333333337,33.333333333333336
"Product 37, Product 64, Product 96",Product 7,0.01,1.0,33.333333333333336
Product 7,"Product 27, Product 88",0.01,0.33333333333333337,33.333333333333336
"Product 74, Product 78, Product 95",Product 24,0.01,1.0,33.333333333333336
Product 84,"Product 58, Product 78",0.01,0.33333333333333337,33.333333333333336
Product 61,"Product 12, Product 14, Product 29, Product 64",0.01,0.33333333333333337,33.333333333333336
"Product 35, Product 37, Product 64, Product 96",Product 7,0.01,1.0,33.333333333333336
Product 13,"Product 4, Product 60, Product 81",0.01,0.33333333333333337,33.333333333333336
"Product 2, Product 47, Product 8",Product 76,0.01,1.0,33.333333333333336
"Product 78, Product 87",Product 84,0.01,1.0,33.333333333333336
"Product 27, Product 88",Product 7,0.01,1.0,33.333333333333336
Product 69,"Product 41, Product 96",0.01,0.33333333333333337,33.333333333333336
Product 41,"Product 69, Product 96",0.01,0.33333333333333337,33.333333333333336
"Product 78, Product 96",Product 41,0.01,1.0,33.333333333333336
Product 41,"Product 78, Product 96",0.01,0.33333333333333337,33.333333333333336
"Product 69, Product 78",Product 41,0.01,1.0,33.333333333333336
"Product 41, Product 78",Product 69,0.01,1.0,33.333333333333336
Product 70,"Product 27, Product 81",0.01,0.33333333333333337,33.333333333333336
"Product 58, Product 87",Product 84,0.01,1.0,33.333333333333336
Product 70,"Product 20, Product 65, Product 98",0.01,0.33333333333333337,33.333333333333336
Product 84,"Product 33, Product 58",0.01,0.33333333333333337,33.333333333333336
Product 7,"Product 35, Product 37, Product 64, Product 96",0.01,0.33333333333333337,33.333333333333336
"Product 43, Product 71, Product 78, Product 89",Product 51,0.01,1.0,33.333333333333336
"Product 12, Product 14, Product 29, Product 64",Product 61,0.01,1.0,33.333333333333336
Product 51,"Product 43, Product 71, Product 78, Product 89",0.01,0.33333333333333337,33.333333333333336
"Product 7, Product 81",Product 70,0.01,1.0,33.333333333333336
"Product 81, Product 88",Product 70,0.01,1.0,33.333333333333336
Product 70,"Product 27, Product 88",0.01,0.33333333333333337,33.333333333333336
"Product 70, Product 81",Product 7,0.01,1.0,33.333333333333336
Product 33,"Product 58, Product 84",0.01,0.33333333333333337,33.333333333333336
"Product 58, Product 78",Product 84,0.01,1.0,33.333333333333336
Product 38,"Product 100, Product 50, Product 97",0.01,0.33333333333333337,33.333333333333336
Product 74,Product 24,0.01,1.0,33.333333333333336
Product 24,Product 74,0.01,0.33333333333333337,33.333333333333336
Product 7,"Product 27, Product 70, Product 81, Product 88",0.01,0.33333333333333337,33.333333333333336
Product 84,"Product 78, Product 87",0.01,0.33333333333333337,33.333333333333336
"Product 58, Product 87",Product 33,0.01,1.0,33.333333333333336
Product 33,"Product 58, Product 87",0.01,0.33333333333333337,33.333333333333336
"Product 27, Product 70",Product 7,0.01,1.0,33.333333333333336
"Product 27, Product 7",Product 70,0.01,1.0,33.333333333333336
Product 70,"Product 27, Product 7",0.01,0.33333333333333337,33.333333333333336
Product 7,"Product 27, Product 70",0.01,0.33333333333333337,33.333333333333336
Product 13,"Product 100, Product 4, Product 60, Product 81",0.01,0.33333333333333337,33.333333333333336
Product 76,Product 47,0.01,0.33333333333333337,33.333333333333336
Product 47,Product 76,0.01,1.0,33.333333333333336
"Product 27, Product 7, Product 81, Product 88",Product 70,0.01,1.0,33.333333333333336
Product 16,"Product 46, Product 52, Product 62",0.01,0.33333333333333337,33.333333333333336
Product 46,"Product 16, Product 52, Product 62",0.01,0.33333333333333337,33.333333333333336
Product 39,"Product 11, Product 23, Product 79",0.01,0.33333333333333337,33.333333333333336
"Product 20, Product 65, Product 98",Product 70,0.01,1.0,33.333333333333336
Product 70,"Product 27, Product 7, Product 81, Product 88",0.01,0.33333333333333337,33.333333333333336
"Product 27, Product 70, Product 81, Product 88",Product 7,0.01,1.0,33.333333333333336
"Product 100, Product 4, Product 60, Product 81",Product 13,0.01,1.0,33.333333333333336
Product 18,"Product 31, Product 42, Product 62",0.01,0.33333333333333337,33.333333333333336
"Product 31, Product 42, Product 90",Product 18,0.01,1.0,33.333333333333336
"Product 81, Product 88",Product 7,0.01,1.0,33.333333333333336
Product 7,"Product 81, Product 88",0.01,0.33333333333333337,33.333333333333336
"Product 70, Product 88",Product 7,0.01,1.0,33.333333333333336
"Product 4, Product 60, Product 81",Product 13,0.01,1.0,33.333333333333336
Product 13,"Product 100, Product 60, Product 81",0.01,0.33333333333333337,33.333333333333336
Product 7,"Product 70, Product 81",0.01,0.33333333333333337,33.333333333333336
"Product 1, Product 79",Product 72,0.01,1.0,33.333333333333336
Product 72,"Product 1, Product 79",0.01,0.33333333333333337,33.333333333333336
"Product 63, Product 86",Product 84,0.01,1.0,33.333333333333336
"Product 62, Product 68, Product 79",Product 28,0.01,1.0,33.333333333333336
Product 70,"Product 7, Product 81",0.01,0.33333333333333337,33.333333333333336
"Product 27, Product 81",Product 70,0.01,1.0,33.333333333333336
Product 7,"Product 35, Product 37, Product 64",0.01,0.33333333333333337,33.333333333333336
"Product 19, Product 36, Product 87",Product 92,0.01,1.0,33.333333333333336
"Product 100, Product 50, Product 97",Product 38,0.01,1.0,33.333333333333336
Product 33,"Product 56, Product 87, Product 91",0.01,0.33333333333333337,33.333333333333336
"Product 56, Product 65, Product 87",Product 33,0.01,1.0,33.333333333333336
Product 92,"Product 19, Product 36, Product 87",0.01,0.33333333333333337,33.333333333333336
"Product 11, Product 23, Product 79",Product 39,0.01,1.0,33.333333333333336
Product 70,"Product 81, Product 88",0.01,0.33333333333333337,33.333333333333336
"Product 27, Product 81",Product 7,0.01,1.0,33.333333333333336
Product 7,"Product 27, Product 81",0.01,0.33333333333333337,33.333333333333336
"Product 27, Product 88",Product 70,0.01,1.0,33.333333333333336
"Product 7, Product 88",Product 70,0.01,1.0,33.333333333333336
Product 70,"Product 7, Product 88",0.01,0.33333333333333337,33.333333333333336
"Product 44, Product 58, Product 86, Product 93",Product 24,0.01,1.0,33.333333333333336
Product 33,"Product 56, Product 65, Product 87",0.01,0.33333333333333337,33.333333333333336
"Product 56, Product 65, Product 91",Product 33,0.01,1.0,33.333333333333336
"Product 1, Product 12, Product 65",Product 28,0.01,1.0,33.333333333333336
Product 33,"Product 56, Product 65, Product 91",0.01,0.33333333333333337,33.333333333333336
"Product 14, Product 19, Product 79, Product 93",Product 76,0.01,1.0,33.333333333333336
"Product 100, Product 4, Product 60",Product 13,0.01,1.0,33.333333333333336
Product 13,"Product 100, Product 4, Product 81",0.01,0.33333333333333337,33.333333333333336
"Product 100, Product 60, Product 81",Product 13,0.01,1.0,33.333333333333336
Product 13,"Product 100, Product 4, Product 60",0.01,0.33333333333333337,33.333333333333336
Product 7,"Product 37, Product 96",0.01,0.33333333333333337,33.333333333333336
"Product 12, Product 14, Product 29",Product 61,0.01,1.0,33.333333333333336
Product 24,"Product 58, Product 86, Product 93",0.01,0.33333333333333337,33.333333333333336
Product 61,"Product 12, Product 14, Product 29",0.01,0.33333333333333337,33.333333333333336
"Product 56, Product 87, Product 91",Product 33,0.01,1.0,33.333333333333336
Product 76,"Product 14, Product 19, Product 79, Product 93",0.01,0.33333333333333337,33.333333333333336
Product 7,Product 37,0.01,0.33333333333333337,33.333333333333336
Product 84,"Product 12, Product 33, Product 35, Product 7",0.01,0.33333333333333337,33.333333333333336
